customer_id,total_orders,total_amount,repeat_purchaser
469.0,11,35407,1
470.0,1,1200,0
471.0,1,2400,0
472.0,1,600,0
473.0,2,1300,1
474.0,1,600,0
475.0,1,1149,0
476.0,1,1149,0
477.0,1,199,0
478.0,1,2754,0
479.0,1,600,0
480.0,1,5700,0
481.0,1,9407,0
483.0,1,825,0
484.0,1,5085,0
485.0,1,10200,0
486.0,1,600,0
487.0,1,600,0
488.0,1,600,0
489.0,1,600,0
490.0,2,1590,1
493.0,1,795,0
494.0,1,700,0
495.0,1,700,0
499.0,1,2220,0
500.0,1,795,0
501.0,3,2955,1
502.0,1,795,0
503.0,1,795,0
504.0,1,1412,0
505.0,1,795,0
507.0,1,1365,0
508.0,1,3645,0
512.0,7,6115,1
513.0,13,11214,1
517.0,2,10364,1
519.0,5,5929,1
522.0,1,985,0
523.0,34,62207,1
527.0,1,600,0
528.0,1,1450,0
536.0,29,13002,1
537.0,1,300,0
538.0,1,500,0
540.0,1,1074,0
541.0,4,2400,1
543.0,1,1275,0
544.0,3,2275,1
545.0,1,1184,0
546.0,1,800,0
551.0,1,700,0
553.0,3,4400,1
555.0,1,1935,0
560.0,1,700,0
562.0,1,400,0
567.0,1,1650,0
568.0,1,1032,0
569.0,1,300,0
575.0,5,24585,1
578.0,20,34671,1
579.0,1,6499,0
580.0,1,300,0
581.0,102,123591,1
582.0,63,109448,1
583.0,1,800,0
584.0,1,800,0
585.0,1,300,0
589.0,1,525,0
591.0,1,500,0
592.0,1,500,0
597.0,1,4925,0
621.0,6,5918,1
745.0,19,25894,1
759.0,2,2055,1
760.0,1,585,0
761.0,54,125786,1
781.0,1,969,0
782.0,66,179221,1
809.0,5,7898,1
815.0,1,500,0
816.0,1,1575,0
817.0,1,1325,0
818.0,1,725,0
819.0,1,825,0
822.0,36,71134,1
833.0,1,825,0
837.0,1,650,0
842.0,1,600,0
843.0,1,315,0
844.0,1,600,0
845.0,1,150,0
846.0,1,500,0
847.0,1,500,0
859.0,1,1200,0
889.0,2,7200,1
890.0,2,200,1
891.0,1,100,0
893.0,1,300,0
894.0,1,1184,0
895.0,1,1184,0
896.0,1,800,0
899.0,1,400,0
900.0,1,300,0
903.0,1,500,0
904.0,1,800,0
909.0,1,300,0
910.0,3,3900,1
911.0,8,5085,1
912.0,1,800,0
913.0,1,50,0
914.0,1,50,0
915.0,1,600,0
917.0,1,600,0
918.0,1,50,0
919.0,1,50,0
920.0,1,400,0
921.0,53,48628,1
922.0,1,300,0
923.0,1,50,0
929.0,1,600,0
930.0,1,700,0
931.0,1,800,0
933.0,1,800,0
934.0,1,50,0
936.0,1,300,0
937.0,1,500,0
938.0,1,500,0
939.0,1,50,0
940.0,1,300,0
941.0,1,500,0
942.0,1,300,0
944.0,1,300,0
945.0,1,300,0
946.0,1,800,0
947.0,1,199,0
948.0,1,300,0
949.0,1,100,0
951.0,1,300,0
953.0,1,300,0
954.0,1,300,0
955.0,1,1200,0
956.0,1,100,0
957.0,1,650,0
958.0,1,650,0
959.0,1,400,0
960.0,1,800,0
961.0,1,600,0
962.0,1,300,0
963.0,1,4300,0
964.0,1,53,0
965.0,1,199,0
966.0,1,330,0
967.0,1,500,0
968.0,1,800,0
969.0,1,400,0
970.0,1,400,0
971.0,1,100,0
972.0,1,600,0
973.0,1,500,0
974.0,1,300,0
975.0,1,330,0
976.0,1,50,0
977.0,1,700,0
978.0,1,1096,0
979.0,1,700,0
980.0,1,100,0
982.0,1,1225,0
983.0,1,525,0
984.0,1,100,0
985.0,1,600,0
988.0,1,1275,0
989.0,1,300,0
990.0,1,600,0
991.0,1,600,0
992.0,1,1575,0
993.0,1,600,0
994.0,1,3335,0
995.0,2,1555,1
996.0,3,4425,1
997.0,1,1500,0
998.0,2,2250,1
999.0,2,1435,1
1002.0,3,2385,1
1005.0,1,1850,0
1006.0,1,1600,0
1007.0,2,1550,1
1008.0,1,800,0
1009.0,1,400,0
1010.0,1,400,0
1011.0,1,7130,0
1012.0,1,1149,0
1013.0,1,950,0
1016.0,10,17008,1
1018.0,1,50,0
1019.0,1,400,0
1021.0,1,2135,0
1022.0,1,110,0
1023.0,1,105,0
1024.0,1,239,0
1025.0,1,480,0
1026.0,1,300,0
1027.0,1,300,0
1028.0,1,300,0
1029.0,1,360,0
1030.0,1,300,0
1031.0,1,525,0
1032.0,1,400,0
1033.0,1,400,0
1034.0,1,840,0
1035.0,1,50,0
1041.0,26,34174,1
1042.0,27,31500,1
1043.0,1,5125,0
1044.0,1,5897,0
1045.0,1,2125,0
1047.0,1,1000,0
1048.0,1,3300,0
1049.0,1,3600,0
1050.0,1,1300,0
1051.0,1,1700,0
1052.0,1,1700,0
1053.0,1,1300,0
1054.0,1,1790,0
1055.0,1,1790,0
1056.0,1,15300,0
1057.0,1,425,0
1058.0,1,1000,0
1059.0,1,2000,0
1060.0,1,500,0
1061.0,2,1400,1
1062.0,1,1500,0
1063.0,1,1540,0
